date,home_team,away_team,home_team_continent,away_team_continent,home_team_score,away_team_score,tournament,neutral_location,shoot_out,home_team_result
6/22/1996,Honduras,Venezuela,North America,South America,1,0,Friendly,FALSE,No,Win
6/23/1996,Barbados,Jamaica,North America,North America,0,1,FIFA World Cup qualification,FALSE,No,Lose
6/23/1996,Czech Republic,Portugal,Europe,Europe,1,0,UEFA Euro,TRUE,No,Win
6/23/1996,Germany,Croatia,Europe,Europe,2,1,UEFA Euro,TRUE,No,Win
6/23/1996,Liberia,Gambia,Africa,Africa,4,0,FIFA World Cup qualification,TRUE,No,Win
6/23/1996,St. Kitts and Nevis,St. Vincent and the Grenadines,North America,North America,2,2,FIFA World Cup qualification,FALSE,No,Draw
6/23/1996,Trinidad and Tobago,Dominican Republic,South America,North America,8,0,FIFA World Cup qualification,FALSE,No,Win
6/25/1996,Paraguay,Armenia,South America,Europe,1,2,Friendly,FALSE,No,Lose
6/26/1996,England,Germany,Europe,Europe,1,1,UEFA Euro,FALSE,Yes,Lose
6/26/1996,France,Czech Republic,Europe,Europe,0,0,UEFA Euro,TRUE,Yes,Lose
6/27/1996,Myanmar,Singapore,Asia,Asia,0,4,AFC Asian Cup qualification,TRUE,No,Lose
6/27/1996,Thailand,Maldives,Asia,Africa,8,0,AFC Asian Cup qualification,FALSE,No,Win
6/28/1996,China PR,New Zealand,Asia,Oceania,2,0,Friendly,FALSE,No,Win
6/28/1996,Qatar,Syria,Asia,Asia,1,0,AFC Asian Cup qualification,FALSE,No,Win
6/29/1996,Maldives,Singapore,Africa,Asia,0,2,AFC Asian Cup qualification,TRUE,No,Lose
6/29/1996,Thailand,Myanmar,Asia,Asia,5,1,AFC Asian Cup qualification,FALSE,No,Win
6/30/1996,Czech Republic,Germany,Europe,Europe,1,2,UEFA Euro,TRUE,No,Lose
6/30/1996,Ecuador,Armenia,South America,Europe,3,0,Friendly,FALSE,No,Win
6/30/1996,Haiti,Cuba,North America,North America,1,1,FIFA World Cup qualification,FALSE,No,Draw
6/30/1996,Jamaica,Barbados,North America,North America,2,0,FIFA World Cup qualification,FALSE,No,Win
6/30/1996,St. Vincent and the Grenadines,St. Kitts and Nevis,North America,North America,0,0,FIFA World Cup qualification,FALSE,No,Draw
7/1/1996,Myanmar,Maldives,Asia,Africa,3,1,AFC Asian Cup qualification,TRUE,No,Win
7/1/1996,Thailand,Singapore,Asia,Asia,1,1,AFC Asian Cup qualification,FALSE,No,Draw
7/4/1996,Maldives,Thailand,Africa,Asia,0,8,AFC Asian Cup qualification,TRUE,No,Lose
7/4/1996,Singapore,Myanmar,Asia,Asia,2,2,AFC Asian Cup qualification,FALSE,No,Draw
7/5/1996,Qatar,Kazakhstan,Asia,Europe,3,0,AFC Asian Cup qualification,FALSE,No,Win
7/6/1996,Chile,Ecuador,South America,South America,4,1,FIFA World Cup qualification,FALSE,No,Win
7/6/1996,Malawi,Tanzania,Africa,Africa,3,2,Friendly,FALSE,No,Win
7/7/1996,Bolivia,Venezuela,South America,South America,6,1,FIFA World Cup qualification,FALSE,No,Win
7/7/1996,Myanmar,Thailand,Asia,Asia,1,7,AFC Asian Cup qualification,TRUE,No,Lose
7/7/1996,Colombia,Uruguay,South America,South America,3,1,FIFA World Cup qualification,FALSE,No,Win
7/7/1996,Estonia,Latvia,Europe,Europe,1,1,Baltic Cup,FALSE,No,Draw
7/7/1996,Peru,Argentina,South America,South America,0,0,FIFA World Cup qualification,FALSE,No,Draw
7/7/1996,Singapore,Maldives,Asia,Africa,5,2,AFC Asian Cup qualification,FALSE,No,Win
7/8/1996,Latvia,Lithuania,Europe,Europe,1,2,Baltic Cup,TRUE,No,Lose
7/8/1996,Malawi,Tanzania,Africa,Africa,1,0,Friendly,FALSE,No,Win
7/9/1996,Myanmar,Maldives,Asia,Africa,4,1,AFC Asian Cup qualification,TRUE,No,Win
7/9/1996,Estonia,Lithuania,Europe,Europe,1,1,Baltic Cup,FALSE,No,Draw
7/9/1996,Singapore,Thailand,Asia,Asia,2,2,AFC Asian Cup qualification,FALSE,No,Draw
7/10/1996,Malawi,Tanzania,Africa,Africa,1,1,Friendly,FALSE,No,Draw
7/12/1996,Kazakhstan,Syria,Europe,Asia,0,1,AFC Asian Cup qualification,FALSE,No,Lose
7/17/1996,China PR,Uruguay,Asia,South America,1,1,Friendly,FALSE,No,Draw
7/19/1996,Syria,Qatar,Asia,Asia,3,1,AFC Asian Cup qualification,FALSE,No,Win
7/21/1996,Panama,Venezuela,North America,South America,0,2,Friendly,FALSE,No,Lose
7/24/1996,Honduras,Panama,North America,North America,1,1,Friendly,FALSE,No,Draw
7/26/1996,Paraguay,Bolivia,South America,South America,2,0,Friendly,FALSE,No,Win
7/28/1996,Honduras,Trinidad and Tobago,North America,South America,0,0,Friendly,FALSE,No,Draw
7/28/1996,Jamaica,Panama,North America,North America,0,0,Friendly,FALSE,No,Draw
7/30/1996,Panama,Trinidad and Tobago,North America,South America,1,0,Friendly,FALSE,No,Win
7/31/1996,Belarus,Lithuania,Europe,Europe,2,2,Friendly,FALSE,No,Draw
8/4/1996,Costa Rica,Honduras,North America,North America,1,1,Friendly,FALSE,No,Draw
8/4/1996,Guatemala,Panama,North America,North America,1,0,Friendly,FALSE,No,Win
8/4/1996,Vietnam,Chinese Taipei,Asia,Asia,4,1,AFC Asian Cup qualification,FALSE,No,Win
8/7/1996,Panama,Honduras,North America,North America,2,1,Friendly,FALSE,No,Win
8/8/1996,Benin,Mauritania,Africa,Africa,4,1,African Cup of Nations qualification,FALSE,No,Win
8/8/1996,China PR,Paraguay,Asia,South America,0,2,Friendly,FALSE,No,Lose
8/8/1996,Korea Republic,Chinese Taipei,Asia,Asia,4,0,AFC Asian Cup qualification,TRUE,No,Win
8/9/1996,Jordan,Pakistan,Asia,Asia,4,0,AFC Asian Cup qualification,FALSE,No,Win
8/11/1996,Botswana,Namibia,Africa,Africa,0,0,African Cup of Nations qualification,FALSE,No,Draw
8/11/1996,Congo,Togo,Africa,Africa,0,0,African Cup of Nations qualification,FALSE,No,Draw
8/11/1996,Honduras,Costa Rica,North America,North America,0,0,Friendly,FALSE,No,Draw
8/11/1996,Iraq,Pakistan,Asia,Asia,3,0,AFC Asian Cup qualification,TRUE,No,Win
8/11/1996,Mauritius,Seychelles,Africa,Africa,1,0,African Cup of Nations qualification,FALSE,No,Win
8/11/1996,Uganda,Ethiopia,Africa,Africa,1,1,African Cup of Nations qualification,FALSE,No,Draw
8/11/1996,Vietnam,Korea Republic,Asia,Asia,0,4,AFC Asian Cup qualification,FALSE,No,Lose
8/13/1996,Jordan,Iraq,Asia,Asia,0,1,AFC Asian Cup qualification,FALSE,No,Lose
8/13/1996,Ukraine,Lithuania,Europe,Europe,5,2,Friendly,FALSE,No,Win
8/14/1996,Greece,Albania,Europe,Europe,2,1,Friendly,FALSE,No,Win
8/14/1996,Honduras,El Salvador,North America,North America,2,1,Friendly,FALSE,No,Win
8/14/1996,Hungary,United Arab Emirates,Europe,Asia,3,1,Friendly,FALSE,No,Win
8/14/1996,Iceland,Malta,Europe,Europe,2,1,Friendly,FALSE,No,Win
8/14/1996,Latvia,Finland,Europe,Europe,0,0,Friendly,FALSE,No,Draw
8/14/1996,Panama,Guatemala,North America,North America,1,0,Friendly,FALSE,No,Win
